aoa,mach,CL,CD,Cm
0.0,5.0,1.9053571157584703,0.5064692555874715,-4.737179138057985
0.0,6.0,1.7202938388906523,0.4215778739287211,-4.270196533889171
0.0,7.0,1.5959439743938628,0.36825245733176093,-3.958136488387266
0.0,8.0,1.5078163506448738,0.332404976406744,-3.7379248329134054
1.0,5.0,2.312767912940762,0.5965186504446504,-5.729551629898612
1.0,6.0,2.09116142916078,0.5051564755240046,-5.173337348342989
1.0,7.0,1.9423975229856927,0.4476419750831825,-4.801872770075049
1.0,8.0,1.837004944118179,0.4089293130311469,-4.539766051809299
2.0,5.0,2.7248859596092267,0.7044732987725886,-6.739966932591476
2.0,6.0,2.468034218786354,0.605514663608181,-6.097139546897409
2.0,7.0,2.295907840114604,0.5430870814405374,-5.66845892671503
2.0,8.0,2.1741060119418374,0.5010111680824294,-5.36627172136905
3.0,5.0,3.1424278243456003,0.8307578231004966,-7.771396837250973
3.0,6.0,2.851798693716295,0.7231401569394537,-7.044910687229212
3.0,7.0,2.65750144562559,0.6551248865918526,-6.561492766066505
3.0,8.0,2.5202683025902908,0.6092267415047956,-6.221301472283581
4.0,5.0,3.5659570322685368,0.975849794431598,-8.826501511993243
4.0,6.0,3.2431432769998434,0.8585792627670956,-8.01954713794517
4.0,7.0,3.0279641814365266,0.784356255464693,-7.484065589708565
4.0,8.0,2.8763587552821526,0.73422104872965,-7.108115472495088
5.0,5.0,3.9958893769138517,1.1402688464673314,-9.907645783362588
5.0,6.0,3.6425692555880747,1.0124231907735524,-9.023563333518897
5.0,7.0,3.407858647120846,0.9314295591917632,-8.438806582835465
5.0,8.0,3.2429868275503635,0.8766891342048881,-8.02943497647624
6.0,5.0,4.432499523648648,1.3245666782245362,-11.016917333768196
6.0,6.0,4.050402433064553,1.1852956871764853,-10.059121428685339
6.0,7.0,3.797541424876225,1.0970261937299866,-9.42792528072811
6.0,8.0,3.6205274821567675,1.0373595097594146,-8.987498170077512
